Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
266	9	Fa5	F5	340	340	1	8	244	95	96	
267	9	Mi5	E5	336	336	3	16	366	95	96	
268	9	Re5	D5	327	327	1	16	122	95	96	
269	9	Mi5	E5	336	336	1	16	122	95	96	
270	9	Re5	D5	327	327	1	16	122	95	96	
271	9	Do5	C5	318	318	1	16	122	95	96	
272	9	Si4b1	B4b1	313	313	1	16	122	95	96	
273	9	Do5	C5	318	318	1	4	488	95	96	
273.5	53										
274	9	Re5	D5	327	327	1	8	244	95	96	
275	9	Mi5	E5	336	336	1	8	244	95	96	
276	9	Fa5	F5	340	340	1	8	244	95	96	
277	9	La5	A5	358	358	1	16	122	95	96	
278	9	Sol5	G5	349	349	1	16	122	95	96	
279	9	Fa5	F5	340	340	1	16	122	95	96	
280	9	Mi5	E5	336	336	1	16	122	95	96	
281	9	Re5	D5	327	327	1	8	244	95	96	
282	9	Fa5	F5	340	340	1	16	122	95	96	
283	9	Mi5	E5	336	336	1	16	122	95	96	
284	9	Mi5	E5	336	336	1	16	122	95	96	
285	9	Re5	D5	327	327	1	16	122	95	96	
286	9	Re5	D5	327	327	1	16	122	95	96	
287	9	Do5	C5	318	318	1	16	122	95	96	
288	9	Do5	C5	318	318	1	16	122	95	96	
289	9	Si4b1	B4b1	313	313	1	16	122	95	96	
290	9	Si4b1	B4b1	313	313	1	16	122	95	96	
291	9	La4	A4	305	305	1	16	122	95	96	
292	9	La4	A4	305	305	1	16	122	95	96	
293	9	Sol4	G4	296	296	1	16	122	95	96	
294	9	La4	A4	305	305	3	8	732	95	96	
294.5	53										
295	9	Do5	C5	318	318	1	16	122	95	96	
296	9	Si4b1	B4b1	313	313	1	16	122	95	96	
297	9	Si4b1	B4b1	313	313	1	16	122	95	96	
298	9	La4	A4	305	305	1	16	122	95	96	
299	9	La4	A4	305	305	1	16	122	95	96	
300	9	Sol4	G4	296	296	1	16	122	95	96	
301	9	La4	A4	305	305	1	16	122	95	96	
302	9	Si4b1	B4b1	313	313	1	16	122	95	96	
303	9	Do5	C5	318	318	1	16	122	95	96	
304	9	La4	A4	305	305	1	16	122	95	96	
305	9	Si4b1	B4b1	313	313	1	16	122	95	96	
306	9	Sol4	G4	296	296	1	16	122	95	96	
307	9	La4	A4	305	305	3	8	732	95	96	
307.5	53										
308	9	Re5	D5	327	327	1	16	122	95	96	
309	9	Do5	C5	318	318	1	16	122	95	96	
310	9	Do5	C5	318	318	1	16	122	95	96	
311	9	Si4b1	B4b1	313	313	1	16	122	95	96	
312	9	Si4b1	B4b1	313	313	1	16	122	95	96	
313	9	La4	A4	305	305	1	16	122	95	96	
314	9	La4	A4	305	305	3	8	732	95	96	
314.5	53										
