Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
359.5	53										
360	9	Do5	C5	318	318	1	16	114	95	96	
361	9	Fa5	F5	340	340	1	8	227	95	96	
362	9	Fa5	F5	340	340	1	16	114	95	96	
363	9	Fa5	F5	340	340	1	8	227	95	96	
364	9	Mi5b1	E5b1	335	335	1	8	227	95	96	
365	9	Mi5b1	E5b1	335	335	1	8	227	95	96	
366	9	Re5	D5	327	327	1	8	227	95	96	
367	9	Sol5	G5	349	349	1	16	114	99	96	
368	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
369	9	Mi5b4	E5b4	332	332	1	16	114	99	96	
370	9	Re5	D5	327	327	1	16	114	95	96	
371	9	Do5	C5	318	318	1	8	227	95	96	
371.5	53										
372	9	Sol5	G5	349	349	3	16	341	95	96	
373	9	Sol5	G5	349	349	1	16	114	95	96	
374	9	Sol5	G5	349	349	1	4	455	99	96	
375	9	Sol5	G5	349	349	1	4	455	95	96	
376	9	Sol5	G5	349	349	1	16	114	99	96	
377	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
378	9	Mi5b4	E5b4	332	332	1	16	114	99	96	
379	9	Re5	D5	327	327	1	16	114	99	96	
380	9	Re5	D5	327	327	1	8	227	95	96	
380.5	53										
381	9	Do5	C5	318	318	3	16	341	99	96	
382	9	Si4b1	B4b1	313	313	1	16	114	99	96	
383	9	Si4b1	B4b1	313	313	1	8	227	95	96	
384	9	Si4b1	B4b1	313	313	1	16	114	99	96	
385	9	La4	A4	305	305	1	16	114	95	96	
386	9	La4	A4	305	305	1	4	455	95	96	
386.5	53										
387	9	Sol4	G4	296	296	1	16	114	95	96	
388	9	La4	A4	305	305	1	16	114	95	96	
389	9	Si4b1	B4b1	313	313	1	16	114	95	96	
390	9	Re5	D5	327	327	1	16	114	95	96	
391	9	Do5	C5	318	318	1	8	227	95	96	
391.5	53										
392	9			-1	-1	1	16	114	95	96	
393	9	Do5	C5	318	318	1	8	227	95	96	
394	9	Si4	B4	314	314	1	16	114	95	96	
395	9	Do5	C5	318	318	1	4	455	95	96	
396	9	Es	Es			1	4	455	95	96	
397	9	Do5	C5	318	318	1	8	227	95	96	
398	9	Do5	C5	318	318	1	8	227	95	96	
399	9	Re5	D5	327	327	1	16	114	99	96	
400	9	Mi5	E5	336	336	1	16	114	95	96	
400.5	53										
401	9	Do5	C5	318	318	1	16	114	95	96	
402	9	Re5	D5	327	327	1	8	227	95	96	
403	9	Si4b1	B4b1	313	313	1	16	114	95	96	
404	9	Do5	C5	318	318	1	4	455	95	96	
405	9	Es	Es			1	4	455	95	96	
406	9	Do5	C5	318	318	1	8	227	95	96	
407	9	Do5	C5	318	318	1	8	227	95	96	
408	9	Re5	D5	327	327	1	16	114	99	96	
409	9	Mi5	E5	336	336	1	16	114	95	96	
409.5	53										
410	9	Do5	C5	318	318	1	16	114	95	96	
411	9	Fa5	F5	340	340	1	8	227	95	96	
412	9	Fa5	F5	340	340	1	16	114	95	96	
413	9	Fa5	F5	340	340	1	8	227	95	96	
414	9	Mi5b1	E5b1	335	335	1	8	227	95	96	
415	9	Mi5b1	E5b1	335	335	1	8	227	95	96	
416	9	Re5	D5	327	327	1	8	227	95	96	
417	9	Sol5	G5	349	349	1	16	114	99	96	
418	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
419	9	Mi5b4	E5b4	332	332	1	16	114	99	96	
420	9	Re5	D5	327	327	1	16	114	95	96	
421	9	Do5	C5	318	318	1	8	227	95	96	
421.5	53										
422	9	Sol5	G5	349	349	3	16	341	95	96	
423	9	Sol5	G5	349	349	1	16	114	95	96	
424	9	Sol5	G5	349	349	1	4	455	99	96	
425	9	Sol5	G5	349	349	1	4	455	95	96	
426	9	Sol5	G5	349	349	1	16	114	99	96	
427	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
428	9	Mi5b4	E5b4	332	332	1	16	114	99	96	
429	9	Re5	D5	327	327	1	16	114	99	96	
430	9	Re5	D5	327	327	1	8	227	95	96	
430.5	53										
431	9	Do5	C5	318	318	3	16	341	99	96	
432	9	Si4b1	B4b1	313	313	1	16	114	99	96	
433	9	Si4b1	B4b1	313	313	1	8	227	95	96	
434	9	Si4b1	B4b1	313	313	1	16	114	99	96	
435	9	La4	A4	305	305	1	16	114	95	96	
436	9	La4	A4	305	305	1	4	455	95	96	
437	9	La4	A4	305	305	1	4	455	95	96	
438	9	Es	Es			1	8	227	95	96	
438.5	53										
