Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
268	9	Mi5b5	E5b5	331	331	1	16	114	99	96	
269	9	Re5	D5	327	327	1	16	114	99	96	
270	9	Mi5b5	E5b5	331	331	1	16	114	99	96	
271	9	Sol5	G5	349	349	1	16	114	99	96	
272	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
273	9	Mi5b4	E5b4	332	332	1	16	114	99	96	
274	9	Re5	D5	327	327	1	16	114	95	96	
275	9	Re5	D5	327	327	1	8	227	95	96	
276	9	Mi5b4	E5b4	332	332	1	8	227	95	96	
277	9	Sol5	G5	349	349	1	16	114	99	96	
278	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
279	9	Mi5b4	E5b4	332	332	1	16	114	99	96	
280	9	Re5	D5	327	327	1	16	114	99	96	
281	9	Re5	D5	327	327	1	16	114	99	96	
282	9	Do5	C5	318	318	1	16	114	99	96	
283	9	Do5	C5	318	318	1	16	114	99	96	
284	9	Si4b1	B4b1	313	313	1	16	114	99	96	
285	9	Mi5	E5	336	336	1	8	227	99	96	
286	9	Re5	D5	327	327	1	16	114	99	96	
287	9	Do5	C5	318	318	1	16	114	95	96	
288	9	Si4b1	B4b1	313	313	1	8	227	99	96	
289	9	Do5	C5	318	318	1	4	455	99	96	
290	9	Do5	C5	318	318	1	16	114	99	96	
291	9	Si4b1	B4b1	313	313	1	16	114	99	96	
292	9	Do5	C5	318	318	1	4	455	99	96	
293	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
294	9	Sol5	G5	349	349	1	16	114	99	96	
295	9	La5	A5	358	358	1	16	114	99	96	
296	9	Si5b1	B5b1	366	366	1	16	114	99	96	
297	9	Do6	C6	371	371	1	8	227	99	96	
298	9	Si5b5	B5b5	362	362	1	16	114	99	96	
299	9	Sol5	G5	349	349	1	16	114	99	96	
300	9	La5	A5	358	358	1	16	114	99	96	
301	9	Sol5	G5	349	349	1	16	114	99	96	
302	9	Fa5	F5	340	340	1	16	114	99	96	
303	9	Mi5	E5	336	336	1	16	114	95	96	
304	9	Re5	D5	327	327	1	8	227	95	96	
305	9	La5	A5	358	358	1	8	227	95	96	
306	9	Sol5	G5	349	349	1	8	227	99	96	
307	9	Fa5	F5	340	340	1	16	114	99	96	
308	9	Mi5	E5	336	336	1	16	114	99	96	
309	9	Re5	D5	327	327	1	8	227	99	96	
310	9	Do5	C5	318	318	1	16	114	99	96	
311	9	Si4b1	B4b1	313	313	1	16	114	99	96	
312	9	La4	A4	305	305	1	4	455	95	96	
313	9	La4	A4	305	305	1	8	227	99	96	
314	9	Fa5	F5	340	340	1	8	227	99	96	
315	9	Fa5	F5	340	340	1	8	227	99	96	
316	9	Fa5	F5	340	340	1	16	114	99	96	
317	9	Mi5	E5	336	336	1	16	114	99	96	
318	9	Fa5	F5	340	340	1	4	455	95	96	
318.5	53										
319	9	Do5	C5	318	318	1	8	227	99	96	
320	9	Fa5	F5	340	340	1	8	227	99	96	
321	9	Fa5	F5	340	340	1	8	227	99	96	
322	9	Fa5	F5	340	340	1	16	114	99	96	
323	9	Mi5	E5	336	336	1	16	114	99	96	
324	9	Mi5	E5	336	336	3	16	341	99	96	
325	9	Re5	D5	327	327	1	16	114	95	96	
326	9	La5	A5	358	358	1	16	114	99	96	
327	9	Sol5	G5	349	349	1	16	114	95	96	
328	9	Fa5	F5	340	340	1	16	114	99	96	
329	9	Mi5	E5	336	336	1	16	114	95	96	
330	9	Mi5	E5	336	336	3	16	341	99	96	
331	9	Re5	D5	327	327	1	16	114	99	96	
332	9	Re5	D5	327	327	1	16	114	99	96	
333	9	Do5	C5	318	318	1	16	114	99	96	
334	9	Do5	C5	318	318	1	16	114	99	96	
335	9	Re5	D5	327	327	1	16	114	99	96	
