Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
199	9	Sol5	G5	349	349	5	8	1250	99	96	lar 	33.5
200	9	Sol5	G5	349	349	1	8	250	99	96		33.6
201	9	Fa5#4	F5#4	344	344	1	8	250	99	96		33.7
202	9	Mi5b4	E5b4	332	332	1	8	250	99	96		33.8
203	9	Re5	D5	327	327	1	8	250	99	96		33.9
204	9	Do5	C5	318	318	1	8	250	95	96		34
205	53			0	0	0	0	0	0	0		34
206	54			0	0	0	0	0	0	0	ussak@re5	34
207	9	Re5	D5	327	327	3	8	750	95	96	da 	34.3
208	9	Mi5b1	E5b1	335	335	1	4	500	95	96	sa	34.5
209	9	Fa5	F5	340	340	1	8	250	99	96	rar	34.6
210	9	Sol5	G5	349	349	1	8	250	99	96		34.7
211	9	Fa5	F5	340	340	1	8	250	99	96		34.8
212	9	Sol5	G5	349	349	1	8	250	99	96		34.9
213	55			0	0	0	0	0	0	0		34.9
214	9	Mi5b4	E5b4	332	332	1	8	250	95	96		35
215	9	Re5	D5	327	327	5	8	1250	99	96	mış  	35.5
216	10	Mi5b4	E5b4	332	332	1	8	250	99	96		35.6
217	8	Fa5#4	F5#4	344	344	0	0	0	99	96		35.6
218	9	Mi5b4	E5b4	332	332	1	16	125	99	96		35.65
219	9	Re5	D5	327	327	1	16	125	99	96		35.7
220	9	Mi5b4	E5b4	332	332	3	8	750	95	96		36
221	53			0	0	0	0	0	0	0		36
222	9	Sol4	G4	296	296	3	8	750	95	96	Di	36.3
223	9	La4b4	A4b4	301	301	1	4	500	95	96	yor	36.5
224	9	Si4b1	B4b1	313	313	1	8	250	99	96	lar 	36.6
225	9	Do5	C5	318	318	1	8	250	99	96		36.7
226	9	Re5	D5	327	327	1	8	250	99	96		36.8
227	9	Mi5b4	E5b4	332	332	1	8	250	99	96		36.9
228	9	Fa5#4	F5#4	344	344	1	8	250	95	96		37
229	9	Sol5	G5	349	349	3	16	375	99	96	ki 	37.15
230	9	Fa5#4	F5#4	344	344	1	16	125	99	96		37.2
231	9	Mi5b4	E5b4	332	332	1	8	250	99	96		37.3
232	9	Re5	D5	327	327	1	8	250	99	96		37.4
233	9	Do5	C5	318	318	1	8	250	99	96		37.5
234	9	Sol5	G5	349	349	3	16	375	99	96		37.65
235	9	Fa5#4	F5#4	344	344	1	16	125	99	96		37.7
236	9	Mi5b4	E5b4	332	332	1	8	250	99	96		37.8
237	9	Re5	D5	327	327	1	8	250	99	96		37.9
238	9	Do5	C5	318	318	1	8	250	95	96		38
239	53			0	0	0	0	0	0	0		38
240	9	Si4b1	B4b1	313	313	3	8	750	95	96	aşk 	38.3
241	9	Si4b1	B4b1	313	313	1	4	500	95	96	ya	38.5
242	9	Do5	C5	318	318	1	8	250	99	96	lan	38.6
243	9	Re5	D5	327	327	1	8	250	99	96		38.7
244	9	Si4b1	B4b1	313	313	1	8	250	99	96		38.8
245	9	La4b4	A4b4	301	301	1	8	250	99	96		38.9
246	9	Sol4	G4	296	296	1	8	250	95	96		39
247	9	Sol4	G4	296	296	3	16	375	95	96	mış  	39.15
248	9	La4b4	A4b4	301	301	1	16	125	95	96		39.2
249	9	Si4b1	B4b1	313	313	1	8	250	95	96		39.3
250	9	Do5	C5	318	318	1	8	250	95	96	SAZ	39.4
251	9	Re5	D5	327	327	1	8	250	95	96	.	39.5
252	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	39.6
253	9	Fa5#4	F5#4	344	344	1	8	250	95	96	.	39.7
254	9	Sol5	G5	349	349	3	8	750	95	96	.	40
255	53			0	0	0	0	0	0	0		40
256	9	Sol5	G5	349	349	3	8	750	95	96	Gül 	40.3
257	9	Si5b1	B5b1	366	366	1	4	500	95	96	du	40.5
258	9	La5b4	A5b4	354	354	1	8	250	99	96	dak	40.6
259	9	Sol5	G5	349	349	1	8	250	99	96		40.7
260	9	Fa5#4	F5#4	344	344	1	8	250	99	96		40.8
261	9	Sol5	G5	349	349	1	8	250	99	96		40.9
262	9	La5b4	A5b4	354	354	1	8	250	95	96		41
263	9	Sol5	G5	349	349	5	8	1250	99	96	lar 	41.5
264	9	Sol5	G5	349	349	1	8	250	99	96		41.6
265	9	Fa5#4	F5#4	344	344	1	8	250	99	96		41.7
266	9	Mi5b4	E5b4	332	332	1	8	250	99	96		41.8
267	9	Re5	D5	327	327	1	8	250	99	96		41.9
268	9	Do5	C5	318	318	1	8	250	95	96		42
269	53			0	0	0	0	0	0	0		42
270	54			0	0	0	0	0	0	0	ussak@re5	42
271	9	Re5	D5	327	327	3	8	750	95	96	da 	42.3
272	9	Mi5b1	E5b1	335	335	1	4	500	95	96	sa	42.5
273	9	Fa5	F5	340	340	1	8	250	99	96	rar	42.6
274	9	Sol5	G5	349	349	1	8	250	99	96		42.7
275	9	Fa5	F5	340	340	1	8	250	99	96		42.8
276	9	Sol5	G5	349	349	1	8	250	99	96		42.9
277	55			0	0	0	0	0	0	0		42.9
278	9	Mi5b4	E5b4	332	332	1	8	250	95	96		43
279	9	Re5	D5	327	327	5	8	1250	99	96	mış  	43.5
280	10	Mi5b4	E5b4	332	332	1	8	250	99	96		43.6
281	8	Fa5#4	F5#4	344	344	0	0	0	99	96		43.6
282	9	Mi5b4	E5b4	332	332	1	16	125	99	96		43.65
283	9	Re5	D5	327	327	1	16	125	99	96		43.7
284	9	Mi5b4	E5b4	332	332	3	8	750	95	96		44
285	53			0	0	0	0	0	0	0		44
286	9	Sol4	G4	296	296	3	8	750	95	96	Di	44.3
287	9	La4b4	A4b4	301	301	1	4	500	95	96	yor	44.5
288	9	Si4b1	B4b1	313	313	1	8	250	99	96	lar 	44.6
289	9	Do5	C5	318	318	1	8	250	99	96		44.7
290	9	Re5	D5	327	327	1	8	250	99	96		44.8
291	9	Mi5b4	E5b4	332	332	1	8	250	99	96		44.9
292	9	Fa5#4	F5#4	344	344	1	8	250	95	96		45
293	9	Sol5	G5	349	349	3	16	375	99	96	ki 	45.15
294	9	Fa5#4	F5#4	344	344	1	16	125	99	96		45.2
295	9	Mi5b4	E5b4	332	332	1	8	250	99	96		45.3
296	9	Re5	D5	327	327	1	8	250	99	96		45.4
297	9	Do5	C5	318	318	1	8	250	99	96		45.5
298	9	Sol5	G5	349	349	3	16	375	99	96		45.65
299	9	Fa5#4	F5#4	344	344	1	16	125	99	96		45.7
300	9	Mi5b4	E5b4	332	332	1	8	250	99	96		45.8
301	9	Re5	D5	327	327	1	8	250	99	96		45.9
302	9	Do5	C5	318	318	1	8	250	95	96		46
303	53			0	0	0	0	0	0	0		46
304	9	Si4b1	B4b1	313	313	3	8	750	95	96	aşk 	46.3
305	9	Si4b1	B4b1	313	313	1	4	500	95	96	ya	46.5
306	9	Do5	C5	318	318	1	8	250	99	96	lan	46.6
307	9	Re5	D5	327	327	1	8	250	99	96		46.7
308	9	Si4b1	B4b1	313	313	1	8	250	99	96		46.8
309	9	La4b4	A4b4	301	301	1	8	250	99	96		46.9
310	9	Sol4	G4	296	296	1	8	250	95	96		47
311	9	Sol4	G4	296	296	7	8	1750	95	96	mış  	47.7
312	9			-1	-1	3	8	750	100	96		48
313	53			0	0	0	0	0	0	0		48
314	9	Si4b1	B4b1	313	313	5	8	1250	95	96	ARANAĞME 	48.5
315	9	Do5	C5	318	318	1	8	250	95	96	.	48.6
316	9	Re5	D5	327	327	1	8	250	95	96	.	48.7
317	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	48.8
318	9	La4b4	A4b4	301	301	1	8	250	95	96	.	48.9
319	9	Sol4	G4	296	296	1	8	250	95	96	.	49
320	9	Do5	C5	318	318	5	4	2500	95	96	.	50
321	53			0	0	0	0	0	0	0		50
322	9	Si4b1	B4b1	313	313	5	8	1250	95	96	.	50.5
323	9	Do5	C5	318	318	1	8	250	95	96	.	50.6
324	9	Re5	D5	327	327	1	8	250	95	96	.	50.7
325	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	50.8
326	9	La4b4	A4b4	301	301	1	8	250	95	96	.	50.9
327	9	Sol4	G4	296	296	1	8	250	95	96	.	51
328	9	Re5	D5	327	327	7	8	1750	95	96	.	51.7
329	9	Re5	D5	327	327	1	8	250	95	96	.	51.8
330	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	51.9
331	9	Fa5#4	F5#4	344	344	1	8	250	95	96	.	52
332	53			0	0	0	0	0	0	0		52
333	9	Sol5	G5	349	349	3	16	375	95	96	.	52.15
334	9	Fa5#4	F5#4	344	344	1	16	125	95	96	.	52.2
335	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	52.3
336	9	Re5	D5	327	327	1	8	250	95	96	.	52.4
337	9	Do5	C5	318	318	1	8	250	95	96	.	52.5
338	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	52.6
339	9	Do5	C5	318	318	1	8	250	95	96	.	52.7
340	9	Re5	D5	327	327	1	8	250	95	96	.	52.8
341	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	52.9
342	9	Fa5	F5	340	340	1	8	250	95	96	.	53
343	9	Fa5	F5	340	340	1	4	500	95	96	.	53.2
344	9	La5b4	A5b4	354	354	1	8	250	95	96	.	53.3
345	9	Sol5	G5	349	349	1	8	250	95	96	.	53.4
346	9	Fa5	F5	340	340	1	8	250	95	96	.	53.5
347	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	53.6
348	9	Re5	D5	327	327	1	8	250	95	96	.	53.7
349	9	Mi5b4	E5b4	332	332	3	8	750	95	96	.	54
350	53			0	0	0	0	0	0	0		54
351	9	Si4b1	B4b1	313	313	5	8	1250	95	96	.	54.5
352	9	Re5	D5	327	327	5	8	1250	95	96	.	55
353	9	Sol5	G5	349	349	3	16	375	95	96	.	55.15
354	9	Fa5#4	F5#4	344	344	1	16	125	95	96	.	55.2
355	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	55.3
356	9	Re5	D5	327	327	1	8	250	95	96	.	55.4
357	9	Do5	C5	318	318	1	8	250	95	96	.	55.5
358	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	55.6
359	9	La4b4	A4b4	301	301	1	8	250	95	96	.	55.7
360	9	Sol4	G4	296	296	3	8	750	95	96	.  	56
361	53			0	0	0	0	0	0	0		56
362	9	Si4b1	B4b1	313	313	5	8	1250	95	96	ARANAĞME 	56.5
363	9	Do5	C5	318	318	1	8	250	95	96	.	56.6
364	9	Re5	D5	327	327	1	8	250	95	96	.	56.7
365	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	56.8
366	9	La4b4	A4b4	301	301	1	8	250	95	96	.	56.9
