Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
158	9	Mi5b5	E5b5	331	331	1	12	267	95	96	.	7.37037
159	9	Re5	D5	327	327	1	12	267	95	96	.	7.407407
160	9	Do5	C5	318	318	1	12	267	95	96	.	7.444445
161	9	Si4b5	B4b5	309	309	3	16	600	95	96	.	7.527778
162	9	La4b5	A4b5	300	300	1	16	200	95	96	.	7.555555
163	9	Si4b5	B4b5	309	309	1	16	200	95	96	.	7.583333
164	9	La4b5	A4b5	300	300	1	16	200	95	96	.	7.611111
165	9	La4b5	A4b5	300	300	1	16	200	95	96	.	7.638889
166	9	Sol4	G4	296	296	1	16	200	95	96	.	7.666667
167	9	Sol4	G4	296	296	3	16	600	95	96	.	7.75
168	9	Mi5b5	E5b5	331	331	1	16	200	95	96	.	7.777778
169	9	Re5	D5	327	327	1	16	200	95	96	.	7.805555
170	9	Do5	C5	318	318	1	16	200	95	96	.	7.833333
171	9	Si4b5	B4b5	309	309	1	16	200	95	96	.	7.861111
172	9	La4b5	A4b5	300	300	1	16	200	95	96	.	7.888889
173	9	Sol4	G4	296	296	1	4	800	95	96	.	8
174	53			0	0	0	0	0	0	0		8
175	9	Sol5	G5	349	349	3	16	600	95	96	.	8.083333
176	9	La5b5	A5b5	353	353	1	16	200	95	96	.	8.111111
177	9	Sol5	G5	349	349	1	16	200	95	96	.	8.138889
178	9	Fa5	F5	340	340	1	16	200	95	96	.	8.166667
179	9	Mi5b3	E5b4	333	332	1	16	200	95	96	.	8.194445
180	9	Fa5	F5	340	340	1	16	200	95	96	.	8.222222
181	9	Sol5	G5	349	349	1	4	800	95	96	.	8.333333
182	53			0	0	0	0	0	0	0		8.333333
183	9	Fa5	F5	340	340	1	8	400	95	96	Ko	8.388889
184	9	Sol5	G5	349	349	1	8	400	95	96	pa	8.444445
185	9	Sol5	G5	349	349	3	8	1200	99	96	ran 	8.611111
186	9	Do6	C6	371	371	1	8	400	95	96		8.666667
187	9	Do6	C6	371	371	3	16	600	99	96	sî	8.75
188	9	Si5b5	B5b5	362	362	1	16	200	99	96		8.777778
189	9	Si5b5	B5b5	362	362	3	16	600	99	96		8.861111
190	9	La5	A5	358	358	1	16	200	99	96		8.888889
191	9	La5	A5	358	358	3	16	600	99	96		8.972222
192	9	Sol5	G5	349	349	1	16	200	99	96		9
193	53			0	0	0	0	0	0	0		9
194	54			0	0	0	0	0	0	0	evic@mi4b1	9
195	9	Sol5	G5	349	349	1	8	400	99	96		9.055555
196	9	Si5b5	B5b5	362	362	1	16	200	99	96		9.083333
197	9	La5	A5	358	358	1	16	200	99	96		9.111111
198	9	Sol5	G5	349	349	1	16	200	99	96		9.138889
199	9	Fa5	F5	340	340	1	16	200	99	96		9.166667
200	9	Mi5b1	E5b1	335	335	1	16	200	99	96		9.194445
201	9	Re5#3	D5#4	330	331	1	16	200	99	96		9.222222
202	9	Mi5b1	E5b1	335	335	1	4	800	95	96		9.333333
203	55			0	0	0	0	0	0	0		9.333333
204	53			0	0	0	0	0	0	0		9.333333
205	9	Sol5	G5	349	349	1	8	400	95	96	ne	9.388889
206	9	La5	A5	358	358	1	8	400	95	96	mi 	9.444445
207	9	Sol5	G5	349	349	1	8	400	99	96	ağ	9.5
208	9	Fa5	F5	340	340	1	8	400	99	96		9.555555
209	9	Mi5b4	E5b4	332	332	1	8	400	99	96		9.611111
210	9	Re5	D5	327	327	1	8	400	95	96		9.666667
211	9	Do5	C5	318	318	1	2	1600	99	96	yâr 	9.888889
212	54			0	0	0	0	0	0	0	beyati@re5	9.888889
213	9	Re5	D5	327	327	1	8	400	99	96		9.944445
214	9	Mi5b3	E5b4	333	332	1	8	400	99	96		10
215	9	Do5	C5	318	318	1	8	400	95	96		10.05556
216	9	Re5	D5	327	327	1	16	200	95	96	SAZ	10.08333
217	9	Mi5b3	E5b4	333	332	1	16	200	95	96	.	10.11111
218	9	Fa5	F5	340	340	1	16	200	95	96	.	10.13889
219	9	Sol5	G5	349	349	1	16	200	95	96	.	10.16667
220	9	La5	A5	358	358	1	16	200	95	96	.	10.19444
221	9	Do6	C6	371	371	1	16	200	95	96	.	10.22222
222	9	Si5b5	B5b5	362	362	1	4	800	95	96	.	10.33333
223	53			0	0	0	0	0	0	0		10.33333
224	9	Si5b5	B5b5	362	362	1	8	400	95	96	e	10.38889
225	9	Si5b5	B5b5	362	362	1	8	400	95	96	li	10.44444
226	9	Si5b5	B5b5	362	362	3	16	600	99	96	dir 	10.52778
227	9	La5	A5	358	358	1	16	200	99	96		10.55556
228	9	Sol5	G5	349	349	1	8	400	99	96		10.61111
229	9	Si5b5	B5b5	362	362	1	8	400	99	96		10.66667
230	9	La5	A5	358	358	3	16	600	99	96		10.75
