Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
145	9	La4	A4	305	305	1	8	294	99	96		20.66667
146	9	Si4b2	B4b1	312	313	3	8	882	95	96		21
147	53			0	0	0	0	0	0	0		21
148	9	Si4b2	B4b1	312	313	1	8	294	95	96	Şa	21.11111
149	9	Si4b2	B4b1	312	313	3	8	882	95	96	fak	21.44444
150	9	Re5b3	D5b4	324	323	1	4	588	95	96	lar 	21.66667
151	9	Do5	C5	318	318	1	4	588	99	96	a	21.88889
152	9	Si4b2	B4b1	312	313	1	8	294	95	96		22
153	9	Do5	C5	318	318	1	4	588	95	96	tı	22.22222
154	9	Si4b2	B4b1	312	313	1	8	294	99	96	yor 	22.33333
155	9	La4	A4	305	305	1	8	294	95	96		22.44444
156	9	La4	A4	305	305	1	8	294	99	96	gel 	22.55556
157	9	Si4b2	B4b1	312	313	1	8	294	95	96		22.66667
158	9	Do5	C5	318	318	1	8	294	99	96	yâ	22.77778
159	9	Si4b2	B4b1	312	313	1	8	294	99	96		22.88889
160	9	Do5	C5	318	318	1	8	294	95	96		23
161	9	Si4b2	B4b1	312	313	1	8	294	95	96	rim_	23.11111
162	9	La4	A4	305	305	3	8	882	95	96	u	23.44444
163	9	La4	A4	305	305	1	4	588	95	96	yu 	23.66667
164	9			-1	-1	1	4	588	100	0		23.88889
165	9			-1	-1	1	8	294	100	0		24
166	9	Si4b2	B4b1	312	313	1	8	294	95	96	Sü	24.11111
167	9	Si4b2	B4b1	312	313	3	8	882	95	96	rü	24.44444
168	9	Re5b3	D5b4	324	323	1	4	588	95	96	den 	24.66667
169	9	Do5	C5	318	318	1	4	588	99	96	ay	24.88889
170	9	Si4b2	B4b1	312	313	1	8	294	95	96		25
171	9	Do5	C5	318	318	1	4	588	95	96	rı	25.22222
172	9	Si4b2	B4b1	312	313	1	8	294	95	96	lan 	25.33333
173	9	La4	A4	305	305	1	8	294	95	96		25.44444
174	9	La4	A4	305	305	1	8	294	99	96	sür	25.55556
175	9	Si4b2	B4b1	312	313	1	8	294	95	96		25.66667
176	9	Do5	C5	318	318	1	8	294	99	96	me	25.77778
177	9	Si4b2	B4b1	312	313	1	8	294	99	96		25.88889
178	9	Do5	C5	318	318	1	8	294	95	96		26
179	9	Si4b2	B4b1	312	313	1	8	294	95	96	li 	26.11111
180	9	La4	A4	305	305	3	8	882	95	96	ko	26.44444
181	9	Si4b2	B4b1	312	313	1	8	294	99	96	yun	26.55556
182	9	La4	A4	305	305	1	8	294	99	96		26.66667
183	9	Si4b2	B4b1	312	313	3	8	882	95	96		27
184	53			0	0	0	0	0	0	0		27
185	9	Si4b2	B4b1	312	313	1	8	294	95	96	Şa	27.11111
186	9	Si4b2	B4b1	312	313	3	8	882	95	96	fak	27.44444
187	9	Re5b3	D5b4	324	323	1	4	588	95	96	lar 	27.66667
188	9	Do5	C5	318	318	1	4	588	99	96	a	27.88889
189	9	Si4b2	B4b1	312	313	1	8	294	95	96		28
190	9	Do5	C5	318	318	1	4	588	95	96	tı	28.22222
191	9	Si4b2	B4b1	312	313	1	8	294	99	96	yor 	28.33333
192	9	La4	A4	305	305	1	8	294	95	96		28.44444
193	9	La4	A4	305	305	1	8	294	99	96	gel 	28.55556
194	9	Si4b2	B4b1	312	313	1	8	294	95	96		28.66667
195	9	Do5	C5	318	318	1	8	294	99	96	yâ	28.77778
196	9	Si4b2	B4b1	312	313	1	8	294	99	96		28.88889
197	9	Do5	C5	318	318	1	8	294	95	96		29
198	9	Si4b2	B4b1	312	313	1	8	294	95	96	rim_	29.11111
199	9	La4	A4	305	305	3	8	882	95	96	u	29.44444
200	9	La4	A4	305	305	1	4	588	95	96	yu 	29.66667
201	9			-1	-1	1	4	588	100	0		29.88889
202	9			-1	-1	1	8	294	100	0		30
203	9	Si4b2	B4b1	312	313	1	8	294	95	96	ARANAĞME 	30.11111
204	9	Si4b2	B4b1	312	313	1	4	588	95	96	.	30.33333
205	9	Si4b2	B4b1	312	313	1	8	294	95	96	.	30.44444
206	9	Re5b3	D5b4	324	323	1	4	588	95	96	.	30.66667
207	9	Do5	C5	318	318	1	4	588	95	96	.	30.88889
